iter	RMSE
0	0.7432412083
1	0.7357990788
2	0.7286053269
3	0.7216689628
4	0.7149788104
5	0.7084934686
6	0.7022485001
7	0.6962235445
8	0.6903499938
9	0.6847081963
10	0.6792338519
11	0.6739811445
12	0.6689268826
13	0.6640485791
14	0.659337489
15	0.6547662707
16	0.650426331
17	0.6461877105
18	0.6421264074
19	0.6381936789
20	0.6343676575
21	0.6307359111
22	0.6272373153
23	0.6238703212
24	0.6206187723
25	0.6175019757
26	0.6145051498
27	0.6115999019
28	0.6088155833
29	0.6061177384
30	0.6035501348
31	0.6010333511
32	0.5986101129
33	0.59633685
34	0.5941312759
35	0.5919915514
36	0.5899629958
37	0.5880208134
38	0.5860966839
39	0.584321407
40	0.5826202925
41	0.5809138331
42	0.5793045801
43	0.5777624354
44	0.5762831658
45	0.5748664873
46	0.5735065013
47	0.5721850059
48	0.5709494081
49	0.5697192393
50	0.5685733908
51	0.5674811756
52	0.5664581677
53	0.5654301235
54	0.5644525635
55	0.5634855901
56	0.5625812899
57	0.5617233248
58	0.5609053179
59	0.5601227337
60	0.5593735747
61	0.5586364421
62	0.5579462111
63	0.5572655864
64	0.5566186292
65	0.5560204847
66	0.5553829416
67	0.5547825391
68	0.5542269583
69	0.5537149836
70	0.553195945
71	0.5526796681
72	0.5522141035
73	0.5517744766
74	0.5513645425
75	0.5509326905
76	0.5505291754
77	0.5501630858
78	0.5497840827
79	0.5494448274
80	0.5491093901
81	0.5487731753
82	0.5484739846
83	0.5481555445
84	0.5478672753
85	0.547579123
86	0.5473168784
87	0.5470619311
88	0.5467852525
89	0.5465513576
90	0.546344425
91	0.5461309242
92	0.5459244839
93	0.5457402209
94	0.5455321754
95	0.5453366357
96	0.5451418884
97	0.5449474264
98	0.5447767161
99	0.5446367928
100	0.5444934022
101	0.5443403497
102	0.5441824444
103	0.544067608
104	0.5439311209
105	0.5438209017
106	0.5436672414
107	0.5435565292
108	0.5434481965
109	0.5433428205
110	0.5432291028
111	0.543105804
112	0.5430150886
113	0.5429199783
114	0.5428465756
115	0.5427520565
116	0.542659895
117	0.542581071
118	0.5424940414
119	0.5424272545
120	0.5423453644
121	0.5422667987
122	0.5422064279
123	0.5421452069
124	0.5420693213
125	0.5419971404
126	0.5419536274
127	0.5418801443
128	0.5418190466
129	0.5417553899
130	0.5417057453
131	0.5416540193
132	0.5415793166
133	0.5415312791
134	0.5414868515
135	0.5414389943
136	0.541399936
137	0.541359398
138	0.5413150938
139	0.5412749755
140	0.5412162512
141	0.5411615991
142	0.5411233078
143	0.5410826639
144	0.5410382887
145	0.5409952463
146	0.5409644682
147	0.5409356181
148	0.5409081774
149	0.5408679051
150	0.5408400863
151	0.5408007405
152	0.5407706261
153	0.5407415764
154	0.5407140976
155	0.5406864347
156	0.540659585
157	0.5406300634
158	0.5406111875
159	0.5405786237
160	0.5405601359
161	0.5405420388
162	0.5405052122
163	0.540471543
164	0.5404309795
165	0.5404226546
166	0.5403942435
167	0.5403696885
168	0.5403419242
169	0.5403288373
170	0.5403099524
171	0.5402851845
172	0.5402709894
173	0.5402583131
174	0.5402430078
175	0.5402277226
176	0.5401904888
177	0.5401764844
178	0.5401574717
179	0.5401456105
180	0.5401336037
181	0.5401131954
182	0.5400976538
183	0.5400830445
184	0.5400712546
185	0.5400486701
186	0.5400356406
187	0.5400132596
188	0.5399947102
189	0.5399707165
190	0.5399575185
191	0.5399453353
192	0.5399331518
193	0.5399218639
194	0.5399167778
195	0.5398943637
196	0.5398815599
197	0.5398688988
198	0.5398531729
199	0.5398366801
200	0.5398188415
201	0.5398056161
202	0.5397911661
203	0.5397759907
204	0.5397503824
205	0.5397303705
206	0.5397195034
207	0.5397064936
208	0.5396792144
209	0.5396650444
210	0.5396650444
211	0.5396519325
212	0.5396376857
213	0.5396196504
214	0.5396036863
215	0.5395990037
216	0.539581286
217	0.5395725638
218	0.5395677622
219	0.5395581202
220	0.5395425472
221	0.5395290556
222	0.5395032719
223	0.539492109
224	0.5394657242
225	0.5394414792
226	0.5394235622
227	0.5393957741
228	0.5393805268
229	0.5393713324
230	0.5393645047
231	0.5393541167
232	0.5393422025
233	0.5393327186
234	0.5393236759
235	0.539317668
236	0.5392957628
237	0.5392787763
238	0.5392555652
239	0.5392486772
240	0.539233835
241	0.5392197418
242	0.5392026048
243	0.53918403
244	0.5391604345
245	0.5391395742
246	0.5391009268
247	0.5390925105
248	0.5390883533
249	0.5390753385
250	0.5390655069
251	0.5390531478
252	0.5390347462
253	0.5390227222
254	0.5390122235
255	0.5390047121
256	0.5389818158
257	0.5389688714
258	0.5389530669
259	0.5389405674
260	0.5389326709
261	0.5389255012
