iter	Passed	Remaining
0	30	302636
1	64	319946
2	75	250575
3	104	262369
4	139	279854
5	162	270269
6	193	275889
7	226	283374
8	254	282529
9	287	286934
10	323	293599
11	334	278181
12	350	269111
13	385	274900
14	397	264928
15	436	272401
16	471	276870
17	502	278764
18	519	272747
19	548	273619
20	579	275422
21	595	269915
22	625	271510
23	657	273112
24	690	275707
25	716	274800
26	732	270395
27	762	271526
28	795	273616
29	829	275783
30	847	272571
31	871	271431
32	904	273039
33	938	275087
34	971	276742
35	1002	277604
36	1037	279242
37	1052	275826
38	1084	276949
39	1116	277935
40	1138	276550
41	1166	276551
42	1197	277284
43	1230	278495
44	1264	279643
45	1297	280834
46	1326	280964
47	1357	281488
48	1370	278240
49	1405	279690
50	1439	280802
51	1470	281298
52	1485	278706
53	1518	279748
54	1541	278799
55	1574	279578
56	1601	279326
57	1632	279760
58	1663	280216
59	1691	280175
60	1715	279484
61	1744	279634
62	1763	278198
63	1797	278995
64	1829	279581
65	1847	278122
66	1879	278712
67	1913	279495
68	1945	279981
69	1965	278801
70	1995	279003
71	2030	279972
72	2062	280452
73	2097	281318
74	2108	279002
75	2140	279485
76	2173	280078
77	2193	279063
78	2225	279446
79	2253	279408
80	2287	280091
81	2320	280673
82	2353	281178
83	2386	281701
84	2419	282237
85	2454	282960
86	2487	283471
87	2522	284111
88	2559	285041
89	2590	285219
90	2610	284295
91	2643	284703
92	2677	285255
93	2708	285395
94	2739	285605
95	2771	285964
96	2804	286306
97	2838	286762
98	2869	286956
99	2881	285316
100	2911	285338
101	2943	285660
102	2976	286035
103	2996	285143
104	3028	285424
105	3063	285907
106	3093	286030
107	3114	285306
108	3148	285660
109	3183	286216
110	3216	286542
111	3249	286899
112	3266	285841
113	3301	286330
114	3313	284854
115	3344	284982
116	3378	285406
117	3407	285390
118	3441	285738
119	3470	285761
120	3503	286081
121	3536	286305
122	3568	286531
123	3599	286679
124	3630	286802
125	3664	287191
126	3675	285768
127	3706	285884
128	3739	286113
129	3771	286381
130	3803	286505
131	3835	286722
132	3865	286802
133	3898	287063
134	3930	287225
135	3962	287433
136	3995	287652
137	4028	287902
138	4062	288219
139	4095	288411
140	4128	288703
141	4163	289030
142	4192	289003
143	4228	289390
144	4262	289706
145	4295	289932
146	4329	290189
147	4362	290391
148	4395	290629
149	4431	291034
150	4464	291165
151	4495	291258
152	4526	291301
153	4557	291386
154	4592	291698
155	4624	291821
156	4658	292046
157	4689	292093
158	4722	292285
159	4754	292429
160	4786	292541
161	4817	292571
162	4849	292670
163	4879	292641
164	4912	292831
165	4923	291688
166	4955	291792
167	4988	291950
168	5018	291961
169	5049	291977
170	5079	291940
171	5112	292106
172	5141	292038
173	5174	292197
174	5206	292323
175	5238	292426
176	5273	292637
177	5304	292690
178	5337	292869
179	5369	292916
180	5402	293077
181	5436	293288
182	5469	293402
183	5502	293545
184	5532	293524
185	5564	293585
186	5596	293675
187	5627	293685
188	5658	293738
189	5694	293994
190	5727	294141
191	5761	294293
